"ID","post_name","guid"
201900001,"dollar-shave-club","https://www.zendesk.com.mx/customer/dollar-shave-club"
201900002,"homebridge","https://www.zendesk.com.mx/customer/homebridge"
201900003,"lonely-planet","https://www.zendesk.com.mx/customer/lonely-planet"
201900004,"monese","https://www.zendesk.com.mx/customer/monese"
201900005,"shopify","https://www.zendesk.com.mx/customer/shopify"
201900006,"slack","https://www.zendesk.com.mx/customer/slack"
201900007,"stanley-black-and-decker","https://www.zendesk.com.mx/customer/stanley-black-decker"
201900011,"tesco","https://www.zendesk.com.mx/customer/tesco"
201900008,"trustpilot","https://www.zendesk.com.mx/customer/trustpilot"
201900009,"udemy","https://www.zendesk.com.mx/customer/udemy"
201900010,"xero","https://www.zendesk.com.mx/customer/xero"
201900012,"11-pasos-hacia-un-mejor-documento-de-solicitud-de-propuestas-de-atencion-al-cliente-2","https://www.zendesk.com.mx/resources/11-steps-better-rfp-document"
201900014,"4-tendencias-esenciales-del-comercio-minorista-para-la-epoca-de-fin-de-ano-de-2018","https://www.zendesk.com.mx/resources/4-crucial-trends-2018-holiday-retail-season"
201900076,"5-datos-interesantes-acerca-del-soporte-omnicanal","https://www.zendesk.com.mx/resources/5-fun-facts-omnichannel-support"
201900015,"6-sugerencias-para-crear-un-centro-de-ayuda-eficaz","https://www.zendesk.com.mx/resources/6-tips-for-building-a-thriving-help-center"
201900043,"clientes-felices-resultados-positivos-2","https://www.zendesk.com.mx/resources/happy-customers-happy-bottom-line"
201900024,"comentarios-del-cliente-como-escuchar-lo-que-le-dice","https://www.zendesk.com.mx/resources/customer-feedback-hear-voice-customer"
201900050,"como-el-chat-en-vivo-ayuda-a-los-negocios-y-consumidores-2","https://www.zendesk.com.mx/resources/live-chat-benefits"
201900048,"como-hacer-para-que-sus-clientes-regresen-siempre","https://www.zendesk.com.mx/resources/keep-customers-coming-back"
201900019,"como-la-inteligencia-artificial-esta-mejorando-la-experiencia-del-cliente","https://www.zendesk.com.mx/resources/artificial-intelligence-customer-experience-infographic"
201900053,"comparate-puntos-de-referencia-para-las-organizaciones-de-atencion-al-cliente-america","https://www.zendesk.com.mx/resources/omnichannel-benchmark-amer"
201900021,"creacion-de-una-experiencia-excepcional-de-autoservicio-del-cliente","https://www.zendesk.com.mx/resources/building-best-class-customer-self-service-experience"
201900035,"cuadrante-magico-de-crm-de-gartner-2017-zendesk","https://www.zendesk.com.mx/resources/gartner-2017-magic-quadrant-crm"
201900038,"cuadrante-magico-de-crm-para-centros-de-interaccion-con-los-clientes-de-gartner-2015","https://www.zendesk.com.mx/resources/gartner-magic-quadrant-crm-2015"
201900039,"cuadrante-magico-de-crm-para-centros-de-interaccion-con-los-clientes-de-gartner-2018","https://www.zendesk.com.mx/resources/gartner-magic-quadrant-crm"
201900068,"demostracion-de-productos-zendesk","https://www.zendesk.com.mx/resources/zendesk-product-demo"
201900042,"demostracion-guiada-de-zendesk-chat","https://www.zendesk.com.mx/resources/guided-demo-zendesk-chat"
201900062,"descubra-el-verdadero-valor-de-su-organizacion-de-atencion-al-cliente","https://www.zendesk.com.mx/resources/uncover-true-value-customer-support-organization"
201900030,"desplegar-y-administrar-varios-canales-de-atencion-al-cliente-2","https://www.zendesk.com.mx/resources/roll-manage-multiple-customer-service-channels"
201900058,"el-caso-del-roi-para-el-soporte-omnicanal","https://www.zendesk.com.mx/resources/roi-case-omnichannel-support"
