item_id,item_title,item_description,item_seo_title,item_seo_description,item_thumbnail_url,item_canonical_url,item_tags,item_hidden,item_published_at,author_first_name,author_last_name,item_url
424508208,10 Customer experience KPIs,"According to recent research, by the year 2020, customer experience will overtake price and product as the key brand differentiator. Bearing this in mind, it’s no surprise that businesses are...",,,https://d26a57ydsghvgx.cloudfront.net/content/blog/customer_experience_KPIs.png,https://www.zendesk.com/blog/10-customer-experience-kpis/,,FALSE,2018-04-12 11:37:00,Andrew,Gori,https://resources.zendesk.co.uk/blog/10-customer-experience-kpis
422577774,24/7 Support without 24/7 staff,"Providing support around the clock can be very difficult. Before we even consider the practicalities, demand for 24/7 support is almost certainly going to come as your business becomes successful...",,,https://zen-marketing-content.s3.amazonaws.com/content/resources/global-support.png,https://www.zendesk.com/blog/247-support-without-247-staff/,,FALSE,2018-04-05 12:14:00,Andrew,Gori,https://resources.zendesk.co.uk/blog/24-7-support-without-24-7-staff
354651430,3 of the best knowledge management examples,Design and user experience aren’t just buzzwords—they matter when it comes to serving your customers knowledge. The way your customers interact with your brand is an impression of your company and...,,,https://d26a57ydsghvgx.cloudfront.net/content/blog/1_In%20text%20images/Instacart.png,https://www.zendesk.com/blog/3-best-knowledge-management-examples/,"Guide,Knowledge Base and Self Service,Zendesk Products",FALSE,2017-07-28 11:30:00,Amanda,Roosa,https://resources.zendesk.co.uk/blog/3-best-knowledge-management-examples
350977416,3 Results of bad customer service,Here's a list of what providing bad customer service can do for your company,,,https://d26a57ydsghvgx.cloudfront.net/content/blog/bad_customer_service.png,https://www.zendesk.com/blog/results-bad-customer-service/,"Best Practices,Customer experience,Customer Service Leadership",FALSE,2017-06-02 20:03:00,Andrew,Gori,https://resources.zendesk.co.uk/blog/3-results-of-bad-customer-service
384066820,4 industry leaders on how they use the Knowledge Capture app,"We talked to industry leaders from Electronic Arts, Fossil, Clever, and FINALCAD to see how they’re utilizing Zendesk Guide and the Knowledge Capture app.",,,https://d26a57ydsghvgx.cloudfront.net/content/blog/34-Customer%20Experience.png,https://www.zendesk.com/blog/4-leaders-knowledge-capture-app/,"Apps and Integrations,Customer Service Leadership,Guide,Zendesk Products",FALSE,2017-11-17 11:14:00,,,https://resources.zendesk.co.uk/blog/4-industry-leaders-knowledge-capture-app
474097370,4 surprising findings on big companies and customer support,"One size doesn’t fit all when it comes to running a support team. When we looked at how 170 leading enterprise companies are using Zendesk, we found that big companies manage a specific set of...",,,https://zen-marketing-content.s3.amazonaws.com/content/blog_resolution_b.png,https://www.zendesk.com/blog/new-zendesk-research-4-surprising-findings-big-companies-customer-support/,,FALSE,2018-10-25 19:31:00,,,https://resources.zendesk.co.uk/blog/new-zendesk-research-4-surprising-findings-on-big-companies-and-customer-support
369615578,5 benefits of turning know-how into knowledge,"If you needed to build a submarine to discover new depths in the ocean, how would you get the job done? I’ll bet you’d use a talented team of mechanical and electrical engineers, welders, and...",,,https://d26a57ydsghvgx.cloudfront.net/content/know_how.png,https://www.zendesk.com/blog/5-benefits-turning-know-knowledge/,,FALSE,2017-09-20 11:58:00,Andrew,Gori,https://resources.zendesk.co.uk/blog/5-benefits-of-turning-know-how-into-knowledge
351656638,5 best practices for designing a knowledge base,"When designing your knowledge base, it’s important to keep discoverability and simplicity top of mind. The best knowledge bases are intuitive, accessible, and simple. Read on for knowledge base...",,,https://d26a57ydsghvgx.cloudfront.net/content/resources/Guide%20Blog%20Image_680x360%20%281%29.png,https://www.zendesk.com/blog/5-knowledge-base-design-best-practices/,,TRUE,2017-07-06 11:30:00,Amanda,Roosa,https://resources.zendesk.co.uk/blog/5-best-practices-for-designing-a-knowledge-base
414027933,5 Customer experience trends for 2018,"Businesses that improve upon their customer experience through technological advances, while also prioritizing what the customer wants ahead of other considerations, will gain a competitive...",,,https://d26a57ydsghvgx.cloudfront.net/content/blog/customer_experience_trends.png,https://www.zendesk.com/blog/5-customer-experience-trends-2018/,,FALSE,2018-03-06 12:28:00,Andrew,Gori,https://resources.zendesk.co.uk/blog/5-customer-experience-trends-for-2018
406522302,5 must-haves in B2C customer support,"B2C companies need to invest in features that account for their consumers’ behaviors, so we highlighted the 5 must-haves features that ensure every customer can be heard.",,,https://d26a57ydsghvgx.cloudfront.net/content/blog/29-Measurement%20and%20analytics.png,https://www.zendesk.com/blog/5-must-haves-b2c-customer-support/,,FALSE,2018-02-07 11:21:00,,,https://resources.zendesk.co.uk/blog/5-must-haves-in-b2c-customer-support
